generation,individual_id,notebook_type,state,reserved_shot,epochs,validation_split,activation_func,loss_func,optimizer_func,outlier_cutoff,num_conv2d_layers,num_dense_layers,conv2d_neurons,conv2d_size,dense_layer_neurons,max_pooling_size,mape
4,7632a95b-cca9-46b1-8128-571139b74a2c,untrimmed,3,119671,50,0.1,relu,mse,sgd,94.0,2,1,"[64, 64]","[(7, 7), (4, 4)]",[32],"(4, 4)",4.17425100180326
4,7299a12a-7f78-4a9f-916d-4bcd439a564a,untrimmed,3,119671,35,0.25,relu,mae,rmsprop,90.0,2,1,"[8, 32]","[(4, 4), (8, 8)]",[8],"(4, 4)",3.6453337308125207
4,b250a5d9-b123-4722-b903-d09c453d0ecb,untrimmed,3,119671,30,0.25,relu,mae,rmsprop,94.0,2,3,"[16, 64]","[(8, 8), (3, 3)]","[64, 32, 64]","(3, 3)",4.052179806022284
4,0abde21f-243b-4afa-9c80-92f626930eec,untrimmed,3,119671,35,0.15,relu,mae,rmsprop,90.0,2,3,"[16, 32]","[(8, 8), (8, 8)]","[8, 32, 32]","(4, 4)",3.7433796206740992
4,3db86dab-1e70-47a0-846c-651e943091f0,untrimmed,3,119671,35,0.15,relu,mae,sgd,80.0,2,3,"[16, 32]","[(8, 8), (8, 8)]","[8, 32, 32]","(4, 4)",3.5838148299710126
4,ec4e8f31-a2ec-47d4-a171-7b6b40503589,untrimmed,3,119671,35,0.25,relu,mae,rmsprop,90.0,2,1,"[64, 64]","[(7, 7), (4, 4)]",[8],"(4, 4)",3.3310262071676027
4,df2ddfae-62d6-4f49-9cbe-2234f9f989ba,untrimmed,3,119671,50,0.25,relu,mae,sgd,90.0,2,1,"[8, 64]","[(4, 4), (4, 4)]",[8],"(4, 4)",3.423266395853222
4,a3d708d9-5928-4b1f-b351-d646e1554d18,untrimmed,3,119671,50,0.1,relu,mae,rmsprop,94.0,2,3,"[16, 64]","[(8, 8), (4, 4)]","[32, 32, 64]","(4, 4)",3.4578807557164826
4,9cc9bf87-e446-4271-aafb-b2d4930d7540,untrimmed,3,119671,30,0.25,relu,mae,rmsprop,90.0,2,3,"[8, 32]","[(4, 4), (8, 8)]","[8, 32, 64]","(4, 4)",4.082224297064453
4,32ada16f-c65d-4b2f-871d-5e25bc183262,untrimmed,3,119671,35,0.25,relu,mae,rmsprop,90.0,2,1,"[16, 32]","[(8, 8), (8, 8)]",[8],"(3, 3)",3.627528177431452
4,07162877-6b08-43ea-a16c-abc9341b7521,untrimmed,3,119671,50,0.15,relu,mae,sgd,90.0,2,3,"[16, 32]","[(8, 8), (8, 8)]","[8, 32, 32]","(4, 4)",3.5555928583806087
4,9a70f984-0432-470b-8de4-3a623435cefe,untrimmed,3,119671,50,0.25,relu,mae,sgd,94.0,2,1,"[8, 32]","[(4, 4), (8, 8)]",[8],"(4, 4)",3.766761232700751
4,d2f272d2-160d-4178-9ba6-b273ebce2d3d,untrimmed,3,119671,50,0.15,relu,mae,rmsprop,90.0,2,3,"[16, 32]","[(8, 8), (8, 8)]","[8, 32, 32]","(4, 4)",4.09617051461175
4,15bbf46d-e473-4709-9585-693747347d77,untrimmed,3,119671,35,0.15,relu,mae,sgd,94.0,2,3,"[16, 32]","[(8, 8), (8, 8)]","[8, 16, 32]","(4, 4)",3.4504031529218624
4,23502ae5-9b63-4b48-a317-19e58610db5f,untrimmed,3,119671,50,0.1,relu,mse,sgd,94.0,2,1,"[16, 64]","[(8, 8), (4, 4)]",[8],"(4, 4)",3.7857655191891224
4,45556df5-5ac3-4223-9c92-fb3350022716,untrimmed,3,119671,50,0.1,relu,mse,sgd,80.0,2,1,"[16, 64]","[(8, 8), (4, 4)]",[8],"(4, 4)",3.6513839301451365
4,2bf729c0-1a64-489d-b562-1303b2e695f9,untrimmed,3,119671,50,0.15,relu,mse,sgd,80.0,2,1,"[16, 64]","[(8, 8), (4, 4)]",[32],"(4, 4)",4.051759146932982
4,b75ec522-8a68-45a9-979a-d7c916341974,untrimmed,3,119671,50,0.25,relu,mae,sgd,94.0,2,3,"[16, 64]","[(8, 8), (4, 4)]","[32, 64, 64]","(4, 4)",3.747684979667783
4,6a778b7f-cccd-46cb-a18e-7e2022eb3ddd,untrimmed,3,119671,30,0.25,relu,mae,sgd,94.0,2,1,"[16, 64]","[(8, 8), (4, 4)]",[64],"(4, 4)",3.8672882514565243
4,bdf5cc14-aa75-472f-961a-177c0dd93f69,untrimmed,3,119671,35,0.1,relu,mae,sgd,90.0,2,1,"[64, 32]","[(7, 7), (8, 8)]",[32],"(4, 4)",3.6108003913137408
4,9da62902-d102-46f3-a628-693bb90744f5,untrimmed,3,119671,30,0.25,relu,mae,rmsprop,94.0,2,3,"[8, 64]","[(4, 4), (3, 3)]","[8, 32, 64]","(4, 4)",4.829125210104401
4,7401b750-0162-44a8-89b9-65545cf19c31,untrimmed,3,119671,50,0.15,relu,mae,sgd,94.0,2,1,"[16, 64]","[(8, 8), (3, 3)]",[64],"(4, 4)",3.403319139654768
4,2a58293e-cb66-4f88-a852-60bcc4448a10,untrimmed,3,119671,30,0.25,relu,mse,sgd,94.0,2,3,"[16, 64]","[(8, 8), (4, 4)]","[32, 32, 64]","(4, 4)",3.8142782105791335
