generation,individual_id,notebook_type,state,reserved_shot,epochs,validation_split,activation_func,loss_func,optimizer_func,outlier_cutoff,num_conv2d_layers,num_dense_layers,conv2d_neurons,conv2d_size,dense_layer_neurons,max_pooling_size,mape
1,75f26a77-0130-43b6-ac21-3adb2c075f31,trimmed,1,119671,20,0.2,tanh,mae,rmsprop,96.0,3,1,"[32, 64, 8]","[(5, 5), (7, 7), (5, 5)]",[16],"(2, 2)",14.1610633383698
1,f14c9996-3ee7-4cd1-aa68-696486a9fa45,trimmed,1,119671,25,0.3,tanh,mse,sgd,100.0,1,1,[16],"[(8, 8)]",[16],"(2, 2)",21.977721768926
1,6ceb7625-bb03-435f-8b9f-6bf866d80e70,trimmed,2,114458,15,0.25,sigmoid,mae,rmsprop,86.0,3,1,"[64, 32, 32]","[(7, 7), (7, 7), (4, 4)]",[8],"(2, 2)",16.46716677037915
1,dd27d181-ddd4-4e0a-a643-1823d37759da,untrimmed,3,114458,40,0.25,relu,mse,sgd,86.0,1,3,[32],"[(4, 4)]","[32, 32, 8]","(2, 2)",6.930773242565024
1,07256e4b-aa17-4f7a-a38d-abb96254c35e,untrimmed,3,119671,45,0.15,tanh,mae,rmsprop,82.0,2,3,"[64, 64]","[(5, 5), (8, 8)]","[32, 8, 8]","(4, 4)",7.014251149857001
1,d9573861-478a-4258-88ce-4cd9bff1d1ca,untrimmed,3,119671,25,0.25,relu,mse,sgd,90.0,2,3,"[8, 16]","[(8, 8), (5, 5)]","[8, 16, 32]","(3, 3)",3.735272790187833
1,952b19fb-9545-4c11-8d52-039087eccfda,trimmed,2,114458,35,0.15,tanh,mae,sgd,88.0,3,2,"[64, 16, 32]","[(8, 8), (4, 4), (3, 3)]","[32, 32]","(4, 4)",11.415507195661448
1,646e6b36-f638-44b3-8b81-00e58b910328,trimmed,2,114458,40,0.1,tanh,mse,adam,96.0,3,2,"[16, 8, 8]","[(7, 7), (5, 5), (7, 7)]","[64, 32]","(2, 2)",9.128616317405863
1,b1ffdfe6-df01-40d2-a10d-ecfd9fb61d3b,untrimmed,2,114458,20,0.25,tanh,mae,rmsprop,100.0,2,1,"[64, 64]","[(7, 7), (5, 5)]",[64],"(2, 2)",19.08962377760769
1,f521bf84-9dcf-454d-8b40-79e9412924ae,untrimmed,1,119671,40,0.25,sigmoid,mse,sgd,88.0,2,3,"[8, 32]","[(7, 7), (8, 8)]","[64, 32, 8]","(2, 2)",7.519752048323842
1,832f78e4-91a7-49f6-965a-6486bec016aa,trimmed,3,114458,40,0.25,tanh,mse,sgd,82.0,1,3,[16],"[(8, 8)]","[64, 16, 64]","(4, 4)",15.30622631316386
1,26a7ba53-a1c0-483f-90cb-8d76818537dc,untrimmed,3,119671,40,0.1,relu,mse,adam,100.0,1,3,[8],"[(7, 7)]","[16, 32, 8]","(2, 2)",3.7238511754538335
1,b7103e61-fe90-4c74-9a5b-c0d594327068,trimmed,1,119671,50,0.1,relu,mae,rmsprop,88.0,3,3,"[64, 8, 64]","[(4, 4), (7, 7), (8, 8)]","[64, 64, 8]","(2, 2)",13.814766054153857
1,0e34a9a7-fad2-41ca-983b-bdec084e7f55,trimmed,3,119671,35,0.1,sigmoid,mse,sgd,88.0,3,3,"[8, 8, 32]","[(4, 4), (4, 4), (3, 3)]","[64, 32, 8]","(4, 4)",19.607661762569244
1,a0408ed2-fab7-440b-a333-dd0288590b29,trimmed,3,114458,25,0.1,relu,mse,rmsprop,90.0,1,1,[32],"[(5, 5)]",[32],"(2, 2)",11.80001324168893
1,827601af-d3f6-44cf-bdbe-3a0d36c25021,trimmed,1,119671,50,0.25,tanh,mae,rmsprop,98.0,3,3,"[16, 64, 8]","[(5, 5), (4, 4), (8, 8)]","[8, 32, 16]","(3, 3)",15.210624176131804
1,b200afea-ecb4-4e65-8056-df8d0f93e8c9,untrimmed,3,119671,45,0.2,tanh,mae,adam,86.0,2,3,"[8, 64]","[(8, 8), (3, 3)]","[8, 16, 64]","(4, 4)",6.56239812066684
1,87cba7da-0184-4733-aa93-496169c60c9e,trimmed,1,119671,40,0.1,tanh,mse,sgd,100.0,3,2,"[16, 64, 16]","[(3, 3), (4, 4), (7, 7)]","[32, 32]","(4, 4)",21.469916933775362
1,46f0bcb5-701b-44f2-8ffa-55897357eba7,trimmed,3,119671,40,0.2,relu,mse,rmsprop,96.0,3,3,"[8, 64, 8]","[(7, 7), (5, 5), (8, 8)]","[8, 32, 64]","(4, 4)",15.306936311704808
1,d16d4cf9-d71b-4cd8-a7b7-5af3feb9643a,trimmed,3,114458,35,0.2,sigmoid,mse,rmsprop,80.0,2,3,"[8, 64]","[(7, 7), (5, 5)]","[64, 64, 64]","(2, 2)",20.66929898521633
1,3d7f1514-181d-4b0b-b1c4-5e3ccf734786,trimmed,3,114458,40,0.1,sigmoid,mse,rmsprop,92.0,2,2,"[8, 16]","[(5, 5), (3, 3)]","[16, 8]","(4, 4)",14.784236333213185
1,6c837f58-0abb-4558-ac4f-d9ed1d154959,trimmed,1,119671,50,0.2,tanh,mae,adam,96.0,2,3,"[8, 8]","[(5, 5), (4, 4)]","[16, 16, 64]","(2, 2)",15.579044237305892
1,d67439ec-68fc-426f-910a-7f70e6a5e4e6,untrimmed,3,114458,15,0.25,sigmoid,mae,adam,92.0,3,2,"[8, 64, 32]","[(8, 8), (5, 5), (5, 5)]","[16, 8]","(2, 2)",14.533621821333078
