generation,individual_id,notebook_type,state,reserved_shot,epochs,validation_split,activation_func,loss_func,optimizer_func,outlier_cutoff,num_conv2d_layers,num_dense_layers,conv2d_neurons,conv2d_size,dense_layer_neurons,max_pooling_size,mape
1,75a216b2-22a6-42c1-ae2a-d321725eb7b2,untrimmed,2,114458,20,0.15,tanh,mse,adam,98.0,2,2,"[16, 32]","[(4, 4), (8, 8)]","[16, 16]","(3, 3)",6.490900260830099
1,38d893a4-3239-45fe-bebc-7c63d2b35965,untrimmed,3,119671,45,0.2,relu,mse,adam,86.0,2,3,"[64, 8]","[(5, 5), (4, 4)]","[32, 8, 8]","(3, 3)",4.41229086705331
1,92a5efca-e1bd-4e94-b53e-7dab44e3d8e9,untrimmed,2,114458,40,0.3,sigmoid,mae,rmsprop,98.0,2,3,"[16, 8]","[(8, 8), (5, 5)]","[8, 8, 32]","(2, 2)",4.131842412996621
1,15effe14-53e2-439d-80b1-f8b1031d2071,trimmed,3,119671,20,0.3,sigmoid,mae,sgd,86.0,2,3,"[32, 64]","[(3, 3), (5, 5)]","[32, 8, 16]","(2, 2)",19.04884622636524
1,8722cb09-fe76-4745-b59d-e2e07b9a14b8,untrimmed,1,119671,40,0.2,relu,mse,adam,100.0,2,3,"[32, 16]","[(8, 8), (3, 3)]","[8, 32, 8]","(2, 2)",6.429306790399454
1,001b7921-e0f3-4ec9-916c-312ddd4fbb85,trimmed,3,119671,35,0.2,relu,mae,rmsprop,92.0,1,3,[16],"[(7, 7)]","[32, 16, 8]","(2, 2)",14.590905338247756
1,384d212e-77cd-4e63-be21-0bf2d2bd2e56,trimmed,2,114458,10,0.25,relu,mae,rmsprop,90.0,3,2,"[32, 16, 32]","[(4, 4), (7, 7), (8, 8)]","[64, 32]","(3, 3)",10.345699019690304
1,9ad87b6f-39b6-48f3-849a-631a87e6351b,trimmed,1,119671,50,0.1,sigmoid,mse,rmsprop,82.0,3,2,"[8, 32, 8]","[(4, 4), (3, 3), (7, 7)]","[32, 32]","(4, 4)",19.93307279581603
1,f46814ed-1fe8-4358-8002-8ae57a7a8a35,untrimmed,3,114458,20,0.2,sigmoid,mse,adam,90.0,2,1,"[32, 16]","[(8, 8), (3, 3)]",[64],"(2, 2)",3.8808420996324866
1,be97e953-e467-4628-a4c3-3901dfcf4547,trimmed,3,119671,25,0.25,sigmoid,mse,adam,92.0,1,1,[16],"[(4, 4)]",[8],"(3, 3)",16.23709398992158
1,ba9b3896-41b7-45a9-ad10-65a499655676,trimmed,1,119671,25,0.25,relu,mae,sgd,98.0,3,2,"[32, 8, 8]","[(5, 5), (4, 4), (8, 8)]","[64, 8]","(2, 2)",17.756590065534837
1,14734d39-b88e-46c0-9752-82ec8546d814,trimmed,2,114458,35,0.3,tanh,mae,sgd,82.0,1,2,[16],"[(5, 5)]","[32, 16]","(2, 2)",15.051954232803965
1,2cbe1932-fb41-4b58-a62b-2c51f915aab4,untrimmed,2,114458,40,0.1,tanh,mse,adam,90.0,2,3,"[32, 16]","[(5, 5), (5, 5)]","[32, 64, 16]","(2, 2)",4.223892628460012
1,60a07cdc-9d6a-43fa-ab60-4e5a108bd8c9,untrimmed,3,114458,30,0.2,sigmoid,mae,adam,90.0,3,3,"[8, 64, 8]","[(8, 8), (3, 3), (5, 5)]","[16, 16, 64]","(2, 2)",4.544224838219679
1,ae7f02d8-3d57-4d97-9356-0724cb1043bd,untrimmed,3,119671,25,0.15,tanh,mae,rmsprop,94.0,3,1,"[32, 64, 8]","[(7, 7), (3, 3), (4, 4)]",[8],"(2, 2)",6.448274866891106
1,6e7a99e4-56b4-42df-a287-946d42f7eb78,untrimmed,3,119671,35,0.25,relu,mae,rmsprop,90.0,2,2,"[8, 32]","[(4, 4), (8, 8)]","[8, 64]","(4, 4)",4.219337277871485
