0	1731600379.997000	0.000000	9.014694
1	1731600379.997010	0.000010	8.705872
2	1731600379.997020	0.000020	8.705872
3	1731600379.997030	0.000030	8.691162
4	1731600379.997040	0.000040	8.705872
5	1731600379.997050	0.000050	8.705872
6	1731600379.997060	0.000060	8.705872
7	1731600379.997070	0.000070	8.705872
8	1731600379.997080	0.000080	8.705872
9	1731600379.997090	0.000090	8.705872
10	1731600379.997100	0.000100	8.705872
11	1731600379.997110	0.000110	8.705872
12	1731600379.997120	0.000120	8.705872
13	1731600379.997130	0.000130	8.705872
14	1731600379.997140	0.000140	8.705872
15	1731600379.997150	0.000150	8.705872
16	1731600379.997160	0.000160	8.705872
17	1731600379.997170	0.000170	8.705872
18	1731600379.997180	0.000180	8.705872
19	1731600379.997190	0.000190	8.705872
20	1731600379.997200	0.000200	8.705872
21	1731600379.997210	0.000210	8.705872
22	1731600379.997220	0.000220	8.705872
23	1731600379.997230	0.000230	8.705872
24	1731600379.997240	0.000240	8.705872
25	1731600379.997250	0.000250	8.705872
26	1731600379.997260	0.000260	8.705872
27	1731600379.997270	0.000270	8.705872
28	1731600379.997280	0.000280	8.705872
29	1731600379.997290	0.000290	8.705872
30	1731600379.997300	0.000300	8.705872
31	1731600379.997310	0.000310	8.705872
32	1731600379.997320	0.000320	8.705872
33	1731600379.997330	0.000330	8.705872
34	1731600379.997340	0.000340	8.705872
35	1731600379.997350	0.000350	8.705872
36	1731600379.997360	0.000360	8.705872
37	1731600379.997370	0.000370	8.705872
38	1731600379.997380	0.000380	8.705872
39	1731600379.997390	0.000390	8.705872
40	1731600379.997400	0.000400	8.705872
41	1731600379.997410	0.000410	8.705872
42	1731600379.997420	0.000420	8.705872
43	1731600379.997430	0.000430	8.705872
44	1731600379.997440	0.000440	8.705872
45	1731600379.997450	0.000450	8.705872
46	1731600379.997460	0.000460	8.705872
47	1731600379.997470	0.000470	8.705872
48	1731600379.997480	0.000480	8.705872
49	1731600379.997490	0.000490	8.705872
50	1731600379.997500	0.000500	8.705872
51	1731600379.997510	0.000510	8.705872
52	1731600379.997520	0.000520	8.705872
53	1731600379.997530	0.000530	8.705872
54	1731600379.997540	0.000540	8.705872
55	1731600379.997550	0.000550	8.705872
56	1731600379.997560	0.000560	8.705872
57	1731600379.997570	0.000570	8.705872
58	1731600379.997580	0.000580	8.705872
59	1731600379.997590	0.000590	8.705872
60	1731600379.997600	0.000600	8.705872
61	1731600379.997610	0.000610	8.720581
62	1731600379.997620	0.000620	8.691162
63	1731600379.997630	0.000630	8.720581
64	1731600379.997640	0.000640	8.691162
65	1731600379.997650	0.000650	8.705872
66	1731600379.997660	0.000660	8.705872
67	1731600379.997670	0.000670	8.705872
68	1731600379.997680	0.000680	8.720581
69	1731600379.997690	0.000690	8.691162
70	1731600379.997700	0.000700	8.720581
