generation,individual_id,notebook_type,state,reserved_shot,epochs,validation_split,activation_func,loss_func,optimizer_func,outlier_cutoff,num_conv2d_layers,num_dense_layers,conv2d_neurons,conv2d_size,dense_layer_neurons,max_pooling_size,early_stopping_patience,early_stopping_min_delta,mape
1,6efca380-2002-4243-87a4-a9db9ce150af,trimmed,1,119671,20,0.1,tanh,mse,rmsprop,86.0,2,3,"[8, 64]","[(3, 3), (7, 7)]","[8, 8, 8]","(4, 4)",30,0.02,13.060807682742562
1,3c547862-9ea9-4900-aa86-d1c321936db4,trimmed,1,119671,50,0.3,sigmoid,mae,rmsprop,94.0,3,2,"[16, 16, 64]","[(5, 5), (3, 3), (5, 5)]","[16, 16]","(2, 2)",25,0.05,19.146474693914374
1,dbe06ecd-61c5-4963-ba39-28c85a5f1d9a,untrimmed,2,114458,15,0.2,relu,mae,adam,100.0,1,3,[8],"[(4, 4)]","[16, 32, 64]","(2, 2)",25,0.02,6.320611299285734
1,d63fcf4d-55b7-4e1e-817b-4313c8e76000,untrimmed,2,114458,50,0.2,relu,mae,rmsprop,92.0,1,2,[32],"[(5, 5)]","[8, 32]","(2, 2)",20,0.05,5.80270374125261
2,a3db13a7-88e2-4b0a-a0e6-6efeb1375d93,untrimmed,2,114458,15,0.2,relu,mae,adam,100.0,1,3,[8],"[(4, 4)]","[16, 32, 64]","(2, 2)",25,0.02,6.640564636988339
2,0fc53ee5-e67e-431e-abf5-afbf6e8c21fa,untrimmed,2,114458,50,0.2,relu,mae,rmsprop,92.0,1,3,[32],"[(5, 5)]","[8, 32, 32]","(2, 2)",20,0.02,6.467617253603991
2,b4fa7a1f-d46d-44a4-9d8c-b977b30e4428,untrimmed,2,114458,50,0.2,relu,mae,rmsprop,92.0,1,2,[32],"[(5, 5)]","[8, 32]","(2, 2)",20,0.02,6.107026383248458
2,002d3230-c2b4-47f7-8d14-3c46201c777b,untrimmed,2,114458,50,0.2,relu,mae,rmsprop,92.0,1,2,[32],"[(5, 5)]","[8, 32]","(2, 2)",20,0.05,6.6872244635046245
