generation,individual_id,notebook_type,state,reserved_shot,epochs,validation_split,activation_func,loss_func,optimizer_func,outlier_cutoff,num_conv2d_layers,num_dense_layers,conv2d_neurons,conv2d_size,dense_layer_neurons,max_pooling_size,early_stopping_patience,early_stopping_min_delta,mape
1,e09d97e9-92dd-436b-a339-8db6cb5274d4,trimmed,2,114458,10,0.2,sigmoid,mae,sgd,100.0,1,3,[16],"[(8, 8)]","[16, 64, 8]","(2, 2)",25,0.001,50.38838108079102
1,2a469c6e-7235-4c41-a417-178af52945c5,untrimmed,2,114458,10,0.25,tanh,mse,adam,82.0,2,2,"[8, 64]","[(8, 8), (5, 5)]","[64, 8]","(4, 4)",15,0.005,45.83315205835066
